Code,Name,AvgNovSIC,Lat,Lon,Years_Visited,ADPE,ANSH,ANTE,BBSP,CAPE,CHPE,GEPE,KEGU,MACP,SGPE,SNPE,SNSH,SOFU,WISP,TotSkua
ACTI,Active Reef (Active Sound),25.21630094,-63.390833,-55.874722,1,0.034,1,0.3147,0.0007,0.0443,0.01,0.112,0.3403,0.0013,0.0073,0.0153,0.168,0.2997,0.4563,0.7753
AITC,Barrientos Island (Aitcho Islands),1.228181818,-62.4071,-59.7517,20,0,0.1682,0.5925,0.0015,0.4364,1,1,0.8106,0.0651,0.9496,0.0004,0.5225,0.3129,0.607,1.3616
ALCO,Alcock Island,1.976223776,-64.24,-61.127,1,0.0123,0.0727,0.3013,0.0017,0.131,1,0.073,0.3037,0.028,0.0093,0.0117,0.2707,0.2727,0.5453,0.6313
ALMI,Brown Station,29.4,-64.8833,-62.8667,21,0,1,0.6489,0.0009,0.5638,0.0001,0.7191,0.3492,0.0001,0,0.0009,0.7277,0.3352,0.4175,0.2812
AMPH,Amphibolite Point,19.35241779,-60.684,-45.339,1,0.0177,0.0663,0.2873,0.002,0.0557,1,0.0343,0.3207,0,0.0097,0.0147,1,0.2967,0.48,0.9753
ANDI,Andresen Island Site 2,57.97272727,-66.875,-66.711,3,1,1,0.678,0.0022,0.0083,0.0008,0.0016,0.365,0.0001,0.005,0.0698,0.0089,0.2964,0.3044,1.0383
ANDR,Andresen Island Site 1,59.29454545,-66.879,-66.649,4,1,0.9915,0.2454,0.0021,0.0048,0.0003,0.0017,0.3431,0.0002,0.001,0.0462,0.0071,0.2968,0.3073,0.9614
ARDL,Ardley Island,0.898086124,-62.213,-58.933,2,1,0.0243,0.7525,0.0033,0.0835,0.7402,1,0.2618,0.0213,0.0052,0.007,0.156,0.2773,0.5523,0.6622
ARMS,Armstrong Reef,42.75670996,-65.8919,-66.2117,2,1,1,0.4878,0.0013,0.0163,0.5335,0.0177,1,0,1,0.0157,0.0382,0.3045,0.695,1.0575
ASTR,Astrolabe Island,2.034181818,-63.316,-58.683,1,0.0168,0.5148,0.2053,0.0028,0.526,0.6155,0.0407,0.254,0.0167,0.0115,0.0102,0.439,1,0.6587,0.4768
ASTU,Cape Astrup,17.0530303,-64.710833,-63.182778,2,0.0027,1,0.2335,0.0018,0.04,0.0028,0.0172,0.703,0.0017,0.0027,0.0095,0.3242,0.299,0.4577,0.6038
AVIA,Avian Island,69.6768595,-67.7732,-68.8855,2,1,1,0.682,0.0017,0.0032,0.0002,0.0005,1,0,1,0.0998,0.0032,0.3632,0.628,1.0493
BAIL,Baily Head (Deception Island),1.546969697,-62.965,-60.506,18,0,0.0008,0.2348,0.0019,0.6765,1,0.0575,0.1124,0.0182,0.0002,0.0008,0.7211,0.2789,0.5572,0.8334
BALD,Bald Head,3.501298701,-63.6302,-57.6048,1,0.006,0.0353,0.279,0.0023,0.0793,0.0233,0.0283,0.293,0.0153,0.0023,0.0103,0.1613,0.2837,0.543,0.629
BARC,Barcroft Islands,49.42139037,-66.4575,-67.1397,1,1,1,0.6447,0.0013,0.0083,0.004,0.01,0.4817,0,0.004,0.0207,0.0223,0.2973,0.339,1.0787
